번호,권역,국가,총괄,네트워크명,진출형태,지원업종(품목),지원범위(프로세스),해당분야 지원실적 및 네트워크만의 강점
1,중국,중국,심지(상해)상무유한공사,심지(상해)상무유한공사,"수출성약 지원, 현지 투자지원, 인큐베이팅 서비스","전기전자(반도체, 디스플레이 등), 기계, 부품, 생활용품(화장품 등)","ㅇ 바이어발굴 : 시장조사(2개월)→바이어발굴(5개월) → 유통채널구축(2개월) → 협상, 계약(3개월)ㅇ 현지진출컨설팅 : 수요파악→현지법규검토 → 계획수립 → 업무진행 → 운영컨설팅 → 관리업무ㅇ 마케팅 대행 : 시장조사→계획수립 → 마케팅채널 선정 → 업무진행 → 운영컨설팅 → 관리업무","ㅇ 법인설립 : SM인더스트리('22),(주)삼성중공업상해지사, 삼성어드밴스드글라스(유), (주)교촌 등 매년 20건 이상 진행ㅇ 홍보·마케팅 대행 : 성남시('18), 광명시('19) 중국 시장개척단 업무대행 중기청 상해 한국우수상품홍보전 대행 등"
2,중국,중국,㈜원동투자그룹,㈜원동투자그룹,"수출성약 지원, 현지유통망 입점, 브랜드 홍보","의료기기(광대역 분광광도계), 화장품, 식품, 생활용품, 전자기기 등","ㅇ 목표시장 수출전략 수립→ 목표시장내 포지션 설정→ 시장조사 (수요도 조사) →수출지원 항목 코칭ㅇ 온·오프라인 마케팅 플랫폼 제작→ 전시회,포럼 참여 지원→ 지원브랜드 홍보ㅇ 바이어 발굴 → 입점 타켓 설정 → 관심바이어 발굴 → 상담회 지원 → 유통 채널 구축 → 거래협상 지원","ㅇ 바이어발굴 : Handing Kedo Huizhi Equipment 수출(‘20) 77,000 (RMB), Shinshin Technology 수출 (‘20) 37,000 (RMB), Ningxia Jinke Guanghui Technology 수출(’20)ㅇ 오프라인 마케팅 : 상하이 완다 광장 팝업스토어 개설 및 운영(’23), 브랜드 마케팅 편의점 입점(’24), 충칭 해방비 오프라인 팝업스토어 개설(’24)ㅇ 온라인 마케팅 : 자사 쇼핑몰 ’핀두어핀두어’ 입점(’24) 및 라이브 커머스 지원"
3,동남아/대양주,필리핀,핏코리아,핏코리아,"수출성약 지원, 현지유통망 입점, 브랜드 홍보","농업기계(트랙터, 로타베이터, 프론트로더, 도정기, 리프트 등), 스마트팜","필리핀 수출지원, 현지 박람회 한국관 참가지원, 현지 조달시장 진출 협조 및 컨설팅, 현지 시장조사 및 바이어 매칭 서비스 등",ㅇ 조달진출 : 필리핀 조달 입찰진행을 위한 표준등록작업 및 암텍과의 업무협력을 통한 실증테스트 추진ㅇ 해외 프로젝트 추진(기술개발 등) : 필리핀 농업부 및 필멕과의 업무협력을 통한 해외 공동개발 프로젝트 추진
4,동남아/대양주,인도네시아,찌뜨라 인띠 수리아,찌뜨라 인띠 수리아,"수출성약 지원, 현지법인 설립지원, IP등록","의료기기(카테터류), 화장품, 건설·환경·에너지(발전, 폐기물 처리)","ㅇ 사전 연구 및 전략 수립, 수임 가능 여부 등 판단 → 담당자 배정 → 전략 수립 → 실행 → 지원 기업과 지속적인 피드백을 통한 효율적인 전략 수정ㅇ 시장조사(2개월) → 바이어발굴(3개월) → 유통채널 구축(2개월) → 거래협상 및 Trial Order 계약(3개월)ㅇ 서비스 내용에 따른 월별/주간 보고서 전달 → 샘플 발송 및 타겟 금액 협의 → 수출계약 체결 및 현지 통관업무 협조 → 사후관리시스템 도입으로 지속적인 수출업무 지원","ㅇ 수출성약지원 : ㈜하나금속('24), ㈜피케이엘엔에스('24), ㈜오톰('24), ㈜마크애니('24) 등ㅇ 현지투자지원 : ㈜거광이엔지('24), ㈜휴민로보틱스('23) 등"
5,북미,미국,TRADERUSH Inc,TRADERUSH Inc,"현지유통망 입점, O2O 지원 서비스, 글로벌밸류체인 진출","식품(건강식품, 농식품 등), 생활용품, 화장품, 생활가전제품",ㅇ 미국시장조사(2개월) → 미국 바이어 발굴(3개월) → 유통채널 구축(4개월) → 거래협상 및 Trial Order 계약(3개월)ㅇ 기업 보유 제품별 전략 수립 → 미국 현지 시장조사 및 패키지 제작 컨설팅 → 마케팅 전략 수립 및 제작 자문 컨설팅 →샘플 품평회 → 소비자 반응 조사 / 바이어 반응 피드백 / 애프터 세일즈 기술 서포트 정책 수립,"ㅇ 현지유통망입점 : 식품 수출성약 성공 및 미국 유통망 진출(수출실적 $1,340,000)ㅇ 바이어발굴 : 건강기능식품, 화장품 수출 및 바이어 발굴(수출실적 $220,000)ㅇ 전시회 지원 : 미국 시카고 전시회 참가 대행 및 상담 지원(수출상담계약 $90,000)"
6,북미,미국,Hitrons Solutions Inc,Hitrons Solutions Inc,"현지유통망 입점, 수출성약 지원, 전시상담회 참가","생활소비재(가정용품, 주방용품, 화장품 및 미용제품 등), 전기전자, 식품(건강기능식품 등)",ㅇ 제품 분석 → 현지 시장 및 판매 유통 채널/환경 조사 → 시장 진출 마케팅 전략 수립 → 영문 마케팅 자료 제작 및 당사 벤더쉽을 활용한 대형 유통망 온라인 몰 제품 입점 추진 → 유통망 온라인 테스트 판매 및 현지 반응 분석→ Sales Network를 통한 잠재 바이어 발굴 → 잠재 바이어 접촉 → 잠재 바이어 사후 관리 → 지속적인 현지 온라인/오프라인/SNS 마케팅 진행ㅇ 현지 마케팅 활동에 따른 월별 보고서 전달 → 참여 기업의 요청에 즉각적인 응대 → 현지 진출 제품에 대한 지속적인 현지 마케팅 수행 및 잠재 바이어 응대 → 참여업체에게 지속적인 피드백 제공 및 협업 진행,"ㅇ 수출컨설팅 : 전시회 참가 지원, 현지 출장 지원, 투자 유치 지원, 마케팅(’24), 온라인 유통망 입점, 마케팅(’24~’25)(수출실적 $111,360)"
7,유럽,독일,Polytech & Net GmbH,Polytech & Net GmbH,"품목별타겟진출, 수출성약 지원, 현지유통망 입점","의료기기(혈압측정기), 전기전자(LED 조명, 반도체 디바이스), 통신기기 등",ㅇ 온라인 마케팅 플랫폼 제작 → 홍보 → 전화 마케팅 및 미팅 → 세일즈 → 애프터 세일즈 기술 서포트 정책 수립ㅇ 시장조사(2개월) → 바이어발굴(3개월) → 유통채널 구축(2개월) → 거래협상 및 Trial Order 계약(3개월)ㅇ 서비스 내용에 따른 월별/주간 보고서 전달 → 샘플 발송 및 타겟 금액 협의 → 수출계약 체결 및 현지 통관업무협조 → 사후관리시스템 도입으로 지속적인 수출업무 지원 (업체와 협의),"ㅇ 바이어발굴 : 러시아 건설장비 바이어 발굴 지원(‘20, 수출실적 $330,000)ㅇ 전시회지원 : 러시아 IP TV&STB 전시회 및 수출상담회 지원(‘19)ㅇ 수출컨설팅 : (주)삼정인터네셔널 미국 법인 설립지원 및 관리 Sales Rep 및 영문 웹사이트 구축"
8,서남아,인도,Koindo Trading PVT. LTD.,Koindo Trading PVT. LTD.,"데이터사이언스 컨설팅, O2O 지원 서비스, 수출성약 지원","의료기기(고주파치료기 등), 전기전자(LED 조명, 반도체 디바이스), 광산업 등",ㅇ 소비재 제품(화장품 및 기타 소비재): 제품 인허가 취득(3개월) → 온라인 마케팅 플랫폼 구축(1개월) → 온라인 사이트 제품 업로드(1개월) → 실 소비 가능 및 제품 홍보 → 오프라인 진출 방안 모색 → 에프터 세일즈 및 서포트 정책 수립ㅇ 기타 제품(화학 및 기계류 등): 관련제품 시장탐색(1개월) → 바이어 발굴 및 미팅(1개월) → 거래협상 진행 및 샘플오더(3개월) → 수출 진행,"ㅇ 수출상담회 : 환경산업협회 인도 녹색산업 시장개척단('25), 국내친환경 기업 10개사 바이어 상담 59건 및 MOU 1건 체결 달성ㅇ 해외규격 인증지원 : BIS, CDSCO 등 인도 해외규격인증지원('19~'25), 160개사 이상 지원 및 인증획득ㅇ 온라인 마케팅 : 서울경제진흥원 글로벌 SNS마케팅 파트너스사업('22~'25), 온라인 쇼핑몰 입점 및 판매, SNS 마케팅 수행"
9,러시아/CIS,우크라이나,에코비스오리진,에코비스오리진,"물류통관 자문, 수출성약 지원, 인큐베이팅 서비스","자동차, 중장비, 지게차 부품, 전자제품, 화장품 등","ㅇ 현지 시장 및 현지 물류 시황 조사(3개월) → 제품 인증·등록 및 현지 마케팅 계획 수립(3개월) → 바이어, 파트너 발굴(2개월) → 유통채널 구축(2개월) → 거래협상 및 Trial Order 계약(2개월)ㅇ 서비스 내용에 따른 월별 보고서 전달 및 주기적인 화상회의 진행 → 판매, 마케팅 방향 토의 및 샘플 발송 지원→ 수출계약 및 현지 통관업무 협조 → 사후관리 및 지속적인 수출업무 지원으로 기업 니즈 충족","ㅇ 수출컨설팅 : 한국통합물류협회 해외동반 진출 컨설팅('24), 상공회의소 해외동반진출 컨설팅('21~'23), 해양수산개발원 해외동반진출 컨설팅('21~'24)ㅇ 물류지원 : KOTRA 해외공동물류센터 지원사업('10~), 다년간 수출 초보 기업에 인큐베이팅 서비스 제공"
10,일본,일본,인터텍합동회사,인터텍합동회사,"수출성약 지원, 기존거래선관리, 브랜드 홍보","전기전자(가전제품, 온열매트 등), 화장품, 금속기계 등","ㅇ 해외유통망진출 : 글로벌쇼룸 시부야 팝업샵(’25), 온수난방매트 수출지원(’24), 야마나시현-충청북도 특산품 판촉전(’24), 비데제품의 바이어발굴, 신제품개발, 수출지원(’23) /수출실적 $2,500,000 및 총판매대리점 계약체결",ㅇ 경쟁력분석 → 온라인 마케팅 플랫폼 제작 → SNS 홍보 → 바이어 발굴 및 미팅(기존 및 신규거래처) → 수출성약지원 → 수출 → 대리점계약 및 유지보수 사후관리ㅇ 경쟁력분석(1개월) → 시장조사(2개월) → 바이어 발굴(2개월) → 유통채널 구축(3개월) → 거래협상 및 계약추진(4개월)
11,중동,아랍에미리트,엘피스코퍼레이션(주),엘피스코퍼레이션(주),"O2O 지원 서비스, 수출성약 지원, 전시상담회 참가","뷰티용품, 의료기기, 기계·장비, 건설·건축","ㅇ 수출지원 및 마케팅 : 고객사 및 진출희망 제품 분석 → 시장환경, 경쟁환경, 진출타당성 분석 → 목표시장 선정및 해외마케팅 전략 수립 →시장분석 리포트 전달 → O2O 마케팅 서비스 → 바이어발굴 → 바이어 매칭 상담 → 세일즈랩 및 수출성약 지원ㅇ 전시/상담회 마케팅 : 단체행사 참가신청 → 타당성 검토(상담품목 조사) → 시장동향 분석 → 진성바이어 발굴 및 매칭 →매칭상황 보고서 전달 → 바이어 매칭 상담회/ 전시회 개최 → 상담결과 보고서 전달 → 사후관리(인콰이어리 관리, 단기출장 지원, 수출활동 지원)ㅇ 현지진출 및 투자 지원 : 고객사 및 진출희망 제품 분석 → 진출전략수립(시장조사 등) → 고객사와의 계약 체결 → 현지투자 지원(법인/지사 설립, 합작투자 등) → 현지화 지원(인큐베이팅, 마케팅전략, 세무, 회계, 노무관련 자문)","ㅇ 바이어발굴 : 바이어 발굴 및 매칭상담회('21~'24), 연간 200개사 이상 지원ㅇ 수출성약지원 : 세일즈랩('21~'24), 수출실적 $500,000이상ㅇ 전시회 참가지원 : 전시회 한국관 및 개별참가 지원('21~'24), 연간 10개사 이상ㅇ 시장개척단 : 시장개척단, 무역사절단 등 단체행사 운영 대리점계약"
