hs4,품목명,google_signal,google_reason,kotra_signal,kotra_reason,final_signal_추천,결합근거,HHI_위험등급
2938,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
7907,아연으로 만든 그 밖의 제품,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-05-27] 아연(Zinc) 정광 수출 강국 미국, 한국의 공급선 다변화 기회 될까 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
7204,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
2707,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
2914,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",RED
3822,기타,RED,"① [Google] 매칭 근거: 수출금지 (최고점수 13, Google 61건 중 위험/주의 8건) | ② 최고 위험 기사: [2026-07-31] 트럼프 ""핵심광물 재활용 필수""…폐배터리 등 수출 금지 지시 - 네이트 | ③ 판정: 위험 신호 반복/고득점 확인 → 구조적 RED 판정과 일치, 즉시 대체선 검토 권고.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,RED,"Google(조기경보) RED, KOTRA 데이터 부족(발행빈도 낮음) → Google 단독 RED 채택",YELLOW
7004,그 밖의 유리,GREEN,"① [Google] 매칭 근거: 매칭 키워드 없음 (최고점수 0, Google 1건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-07-27] 재판부, 윤석열 양형 이유 설명...""자신에 유리하게 허위사실 공표"" [현장영상+] - YTN | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,두 소스 모두 저위험 → 최댓값 채택,RED
2843,그 밖의 화합물과 아말감(amalga,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
3826,바이오디젤과 그 혼합물[석유나 역청유,NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,GREEN,"① [KOTRA] 매칭 근거: 매칭 키워드 없음 (최고점수 0, KOTRA 22건 중 위험/주의 0건) | ② 최고 위험 기사: [2026-08-04] 캄보디아 화장품 시장, 현지 바이어가 말하는 트렌드와 기회 | ③ 판정: 위험 신호 미확인 → 뉴스상으로는 안정적, 다만 구조적 HHI 위험도는 별도 확인 필요.",NO_DATA,두 소스 모두 저위험 → 최댓값 채택,RED
2607,납광과 그 정광(精鑛),NO_DATA,[Google] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,[KOTRA] 관련 기사 0건 수집. | 이 소스만으로는 판단 불가 — 신호는 구조지표(HHI)로 대체 판단 필요. | 다른 소스(Google/KOTRA)의 결과를 함께 확인할 것.,NO_DATA,두 소스 모두 저위험 → 최댓값 채택,YELLOW
